Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
APR;FFD;FFD Plasma;JB2;JB2;265,82;38182;23061;396840;23171;350786;17,21;15,14;1,49;1,32;113,13;0,17;-13,13
APR;FFD;FFD Plasma;JB3;JB3;277,6;38497;33336;554020;27278;382229;16,62;14,01;2;1,38;144,94;0,62;-44,94
APR;FFD;FFD Plasma;SR;SR;199,9;27072;24475;441110;17231;268304;18,02;15,57;2,21;1,34;164,41;0,86;-64,41
MEI;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;144646;2732780;124350;2307343;18,89;18,56;1,88;1,59;118,44;0,29;-18,44
MEI;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;173750;3059330;141466;2472577;17,61;17,48;2,05;1,65;123,73;0,39;-23,73
MEI;BKB;SC Inti;SC Inti;AFD6;393,6;51701;52971;869770;50370;820132;16,42;16,28;2,21;2,08;106,05;0,13;-6,05
MEI;BKB;Setarap;Setarap;AFD-8;388,2;51154;66896;1025090;65190;993242;15,32;15,24;2,64;2,56;103,21;0,08;-3,21
MEI;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;29846;472110;30622;476105;15,82;15,55;2,41;2,43;99,16;-0,02;0,84
MEI;BKB;BKB Plasma;SK1;SK1;187,5;24615;11550;177710;7595;109545;15,39;14,42;0,95;0,58;162,23;0,36;-62,23
MEI;BKB;BKB Plasma;SK2;SK2;158;20822;12181;224020;7315;133059;18,39;18,19;1,42;0,84;168,36;0,58;-68,36
MEI;BKB;BKB Plasma;SKA;SKA;233;30330;16506;298090;12001;210888;18,06;17,57;1,28;0,91;141,35;0,37;-41,35
MEI;BKB;BKB Plasma;SKB;SKB;321;43821;32625;499160;27442;392686;15,3;14,31;1,56;1,22;127,11;0,33;-27,11
MEI;BKB;BKB Plasma;SKC;SKC;55;7285;2870;53090;2228;39003;18,5;17,51;0,97;0,71;136,12;0,26;-36,12
MEI;BKB;BKB Plasma;SBB;SBB;1158,5;156587;53964;770060;35338;514761;14,27;14,57;0,66;0,44;149,6;0,22;-49,6
MEI;BKB;BKB Plasma;SMM;SMM;982,75;130420;55556;728190;33995;421202;13,11;12,39;0,74;0,43;172,88;0,31;-72,88
MEI;BKB;BKB Plasma;TGS;TGS;416;54374;28346;352920;15665;182751;12,45;11,67;0,85;0,44;193,12;0,41;-93,12
MEI;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;62448;769070;35155;420316;12,32;11,96;0,73;0,4;182,97;0,33;-82,97
MEI;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;38812;702860;28608;517476;18,11;18,09;0,88;0,65;135,82;0,23;-35,82
MEI;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;1053;16294;686;10996;15,47;16,04;0,56;0,38;148,19;0,18;-48,19
MEI;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;5243;93336;5175;92388;17,8;17,85;0,84;0,83;101,03;0,01;-1,03
MEI;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;23443;456310;19024;372839;19,46;19,6;0,92;0,75;122,39;0,17;-22,39
MEI;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;169968;2896170;158778;2580625;17,04;16,25;1,73;1,54;112,23;0,19;-12,23
MEI;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;180157;3364340;168388;3100780;18,67;18,41;1,93;1,78;108,5;0,15;-8,5
MEI;FFD;FFD Plasma;BB1;BB1;612,27;80089;80323;1502570;80810;1513198;18,71;18,73;2,45;2,47;99,3;-0,02;0,7
MEI;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;5547;95910;4231;75981;17,29;17,96;2,41;1,91;126,23;0,5;-26,23
MEI;FFD;FFD Plasma;BB2B;BB2-B;442;59052;53369;904480;49634;841081;16,95;16,95;2,05;1,9;107,54;0,14;-7,54
MEI;FFD;FFD Plasma;BB3;BB3;14;1971;1608;30180;1581;31531;18,77;19,94;2,16;2,25;95,71;-0,1;4,29
MEI;FFD;FFD Plasma;BB4;BB4;324,1;43877;47585;842330;41927;724909;17,7;17,29;2,6;2,24;116,2;0,36;-16,2
MEI;FFD;FFD Plasma;BB5;BB5;145,15;19235;23919;366600;21978;341152;15,33;15,52;2,53;2,35;107,46;0,18;-7,46
MEI;FFD;FFD Plasma;JB1;JB1;521,8;68870;50057;768340;43921;649043;15,35;14,78;1,47;1,24;118,38;0,23;-18,38
MEI;FFD;FFD Plasma;JB2;JB2;265,82;38182;36200;629800;39151;677173;17,4;17,3;2,37;2,55;93;-0,18;7
MEI;FFD;FFD Plasma;JB3;JB3;277,6;38497;36063;603900;41960;702813;16,75;16,75;2,18;2,53;85,93;-0,36;14,07
MEI;FFD;FFD Plasma;SR;SR;199,9;27072;31081;576820;28587;519863;18,56;18,19;2,89;2,6;110,96;0,28;-10,96
JUN;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;0;0;165799;3076457;#DIV/0!;18,56;0;2,12;0;-2,12;100
JUN;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;0;0;188621;3296769;#DIV/0!;17,48;0;2,2;0;-2,2;100
JUN;BKB;SC Inti;SC Inti;AFD6;393,6;51701;0;0;67159;1093509;#DIV/0!;16,28;0;2,78;0;-2,78;100
